hips_x,hips_y,hips_z,Spine_x,Spine_y,Spine_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,leftArm_x,leftArm_y,leftArm_z,leftForeArm_x,leftForeArm_y,leftForeArm_z,leftHand_x,leftHand_y,leftHand_z,RightArm_x,RightArm_y,RightArm_z,RightArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,leftUpLeg_x,leftUpLeg_y,leftUpLeg_z,leftLeg_x,leftLeg_y,leftLeg_z,leftFoot_x,leftFoot_y,leftFoot_z,rightUpLeg_x,rightUpLeg_y,rightUpLeg_z,rightLeg_x,rightLeg_y,rightLeg_z,rightFoot_x,rightFoot_y,rightFoot_z,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
-2.732076E-05,0,0,5.464151E-05,7.831942E-19,180,0,0,0,0,0,0,4.599009E-05,6.513776E-12,90.00001,-4.963261E-05,-4.963252E-05,269.9999,0,89.9999,0,-2.732087E-05,-8.196223E-05,-8.196227E-05,-2.732076E-05,0,0,4.098116E-05,270.0001,1.628444E-12,4.098116E-05,270.0001,1.628444E-12,0,0,0,0,89.99995,0,-0.0001366038,5.319548E-11,-2.23118E-05,90,89.99995,0,0,270.0001,0,0,0,0,90,270,0,
